vehicle_name,vehicle_type,year,vehicle_mileage,fuel_type,km_range_per_litre_or_charge
Honda Amaze,Car,1999,21,Diesel,21
Ducati Monster,Bike,2018,0,Electric,149
Toyota Prius,Car,2002,22,Hybrid,22
Suzuki Gixxer SF,Bike,2010,40,Petrol,40
Hyundai Creta,Car,2002,0,Electric,300
Hero Splendor Plus,Bike,2011,0,Electric,124
Hyundai Verna,Car,2019,21,Diesel,21
Suzuki Gixxer SF,Bike,2014,37,Petrol,37
Mahindra XUV400 EV,Car,2000,20,Hybrid,20
Royal Enfield Classic 350,Bike,2000,0,Electric,162
Toyota Innova,Car,2023,0,Electric,576
TVS Apache RTR 160,Bike,2000,37,Petrol,37
Hyundai i20,Car,2006,23,Hybrid,23
Kawasaki Ninja 300,Bike,2020,51,Petrol,51
Tesla Model 3,Car,2013,0,Electric,440
Triumph Street Triple,Bike,2007,0,Electric,177
Tesla Model 3,Car,2001,21,Hybrid,21
TVS Apache RTR 160,Bike,2008,0,Electric,95
Mahindra XUV400 EV,Car,2024,27,Hybrid,27
Bajaj Pulsar 150,Bike,2003,0,Electric,123
Hyundai Verna,Car,2014,17,Diesel,17
Revolt RV400,Bike,2022,60,Petrol,60
Toyota Innova,Car,1995,0,Electric,345
Ola S1 Pro,Bike,2007,0,Electric,196
Toyota Innova,Car,2000,0,Electric,286
Ather 450X,Bike,2006,0,Electric,116
Maruti Swift,Car,1996,20,Petrol,20
Revolt RV400,Bike,2016,0,Electric,153
Tata Altroz,Car,2014,17,Petrol,17
Kawasaki Ninja 300,Bike,2006,0,Electric,99
Toyota Innova,Car,2020,0,Electric,397
Hero Splendor Plus,Bike,2000,0,Electric,111
Toyota Innova,Car,2003,23,Hybrid,23
Ola S1 Pro,Bike,2018,0,Electric,149
Hyundai Kona Electric,Car,2004,23,Petrol,23
Honda Activa 6G,Bike,2005,37,Petrol,37
Volkswagen Polo,Car,2010,28,Hybrid,28
Hero Splendor Plus,Bike,2021,31,Petrol,31
Renault Duster,Car,2005,20,Hybrid,20
Royal Enfield Classic 350,Bike,2012,59,Petrol,59
Ford EcoSport,Car,2016,20,Hybrid,20
KTM Duke 390,Bike,2009,0,Electric,177
Hyundai Kona Electric,Car,2016,16,Petrol,16
Kawasaki Ninja 300,Bike,2005,0,Electric,149
Maruti Dzire,Car,2003,25,Hybrid,25
Bajaj Pulsar 150,Bike,2025,44,Petrol,44
Kia Seltos,Car,2006,22,Petrol,22
Yamaha R15 V4,Bike,2004,0,Electric,114
Kia Seltos,Car,2002,14,Petrol,14
Bajaj Dominar 400,Bike,2025,0,Electric,165
Tesla Model Y,Car,2001,24,Hybrid,24
Bajaj Pulsar 150,Bike,2017,30,Petrol,30
Volkswagen Polo,Car,1997,20,Hybrid,20
Royal Enfield Classic 350,Bike,2011,0,Electric,82
Honda Accord Hybrid,Car,2008,0,Electric,347
Ola S1 Pro,Bike,2012,0,Electric,135
Jeep Compass,Car,1998,0,Electric,510
Harley Davidson Street 750,Bike,2020,58,Petrol,58
Hyundai i20,Car,2022,0,Electric,212
Bajaj Dominar 400,Bike,2008,50,Petrol,50
Tata Nexon,Car,1998,26,Hybrid,26
Triumph Street Triple,Bike,2010,0,Electric,163
Hyundai Verna,Car,1995,26,Hybrid,26
Hero Splendor Plus,Bike,2024,30,Petrol,30
Tesla Model 3,Car,2012,0,Electric,283
Revolt RV400,Bike,2006,33,Petrol,33
Volkswagen Polo,Car,1996,13,Diesel,13
TVS Apache RTR 160,Bike,2011,0,Electric,163
Tesla Model 3,Car,2004,0,Electric,268
Honda Shine,Bike,2017,48,Petrol,48
Ford EcoSport,Car,1999,20,Petrol,20
Kawasaki Ninja 300,Bike,2018,35,Petrol,35
Hyundai i20,Car,2013,22,Hybrid,22
Harley Davidson Street 750,Bike,2022,57,Petrol,57
BMW i4,Car,1996,26,Hybrid,26
BMW G310R,Bike,2014,51,Petrol,51
MG ZS EV,Car,2009,0,Electric,558
Royal Enfield Classic 350,Bike,2006,40,Petrol,40
Maruti Swift,Car,2007,22,Diesel,22
Bajaj Pulsar 150,Bike,2004,48,Petrol,48
Jeep Compass,Car,2012,16,Diesel,16
Ather 450X,Bike,2014,0,Electric,188
Maruti Baleno,Car,2014,0,Electric,478
Royal Enfield Classic 350,Bike,2025,0,Electric,93
Toyota Fortuner,Car,1997,0,Electric,495
Honda Shine,Bike,2023,45,Petrol,45
