vehicle,type,fuel,official_mileage,condition,distance_km,avg_speed_kmph,duration_hr,real_mileage,fuel_used_litre
Maruti Swift,Car,Petrol,22,City_Heavy,353,13.67,25.83,10.45,33.79
Maruti Swift,Car,Petrol,22,Mixed,25,44.68,0.56,18.83,1.33
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,335,36.48,9.18,22.09,15.16
Hyundai Creta,Car,Diesel,21,Mixed,364,61.24,5.94,16.1,22.61
Toyota Innova,Car,Diesel,15,Highway_Light,262,88.88,2.95,13.53,19.36
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,390,13.64,28.6,26.45,14.75
Hyundai Creta,Car,Diesel,21,Highway_Light,464,84.47,5.49,19.29,24.06
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,349,71.65,4.87,31.52,11.07
Hyundai Creta,Car,Diesel,21,City_Moderate,174,26.17,6.65,15.17,11.47
Toyota Innova,Car,Diesel,15,City_Moderate,275,36.4,7.55,11.92,23.07
Toyota Innova,Car,Diesel,15,Mixed,55,51.47,1.07,12.86,4.28
Honda Activa,Bike,Petrol,50,Highway_Light,135,94.4,1.43,49.92,2.7
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,333,11.3,29.47,24.12,13.8
Toyota Innova,Car,Diesel,15,City_Moderate,320,39.08,8.19,11.85,27.01
Honda Activa,Bike,Petrol,50,Highway_Light,350,63.91,5.48,46.93,7.46
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,371,87.33,4.25,43.58,8.51
Maruti Swift,Car,Petrol,22,City_Heavy,268,10.69,25.08,11.48,23.34
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,424,13.64,31.07,26.18,16.19
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,394,30.2,13.05,26.29,14.99
Honda Activa,Bike,Petrol,50,Mixed,481,69.09,6.96,40.68,11.82
Toyota Innova,Car,Diesel,15,City_Heavy,166,17.9,9.27,8.33,19.94
Toyota Innova,Car,Diesel,15,City_Moderate,355,48.05,7.39,11.78,30.14
Hyundai Creta,Car,Diesel,21,City_Moderate,219,38.02,5.76,12.97,16.88
Hyundai Creta,Car,Diesel,21,City_Heavy,217,17.77,12.21,12.44,17.45
Toyota Innova,Car,Diesel,15,Highway_Light,57,83.47,0.68,13.91,4.1
Hyundai Creta,Car,Diesel,21,City_Heavy,192,20.85,9.21,12.45,15.42
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,19,29.13,0.65,21.99,0.86
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,13,44.31,0.29,27.14,0.48
